claim_number,contract_id,adjuster,site_name,department,brings_to_closure,consultant,contract_start,contract_end,contract_category,bid_approval_date,bid_type,contract_type,base_price,amendments_total,paid_to_date,notes,contract_year,total_contract_value,is_bid_to_result,is_scope_of_work,auction_type,brings_to_closure_flag
19990466,19990466001,"Kern,Beth",Kwik Fill S-032,Kwik Fill S 32,Yes,"Groundwater & Environmental Services, Inc.,",2007-06-06,2019-01-28,Sole Source,NA,NA,Fixed Price,522615,0,482480.75,Contract terminated due to new condition. See executed termination letter in IR dated 1/18/19  4/4/2019 12:59:02 PM (dbollana),2007,522615,FALSE,FALSE,Other/Unknown,TRUE
19990468,19990468001,"Ferro,James",Parker Oil Company,Parker Oil,Yes,"MEA, Inc.,",2010-05-12,2015-09-28,Sole Source,NA,NA,Fixed Price,243128.8,58658.99,277547.75,"Amendment #1 brings contract total to $291,901.55.  Amendment #2 brings total to $301,787.75",2010,301787.79,FALSE,FALSE,Other/Unknown,TRUE
19990478,19990478001,"Goodyear,Jennifer",BCO Mart,BCO MART,No,"Groundwater & Environmental Services, Inc.,",2012-07-31,2015-12-28,Competitively Bid,2010-11-05,Defined Scope of Work,Fixed Price,48722.53,0,58319.36,NA,2012,48722.53,FALSE,TRUE,Scope of Work,FALSE
19990503,19990503001,"Smith,Bethany",Old Lycoming Township,Old Lycoming Twp Lycoming Cnty,Yes,"Juniata Geosciences LLC,",2013-11-05,NA,Competitively Bid,2012-06-22,Defined Scope of Work,Fixed Price,24200.13,290482.03,254885.43,NA,2013,314682.16000000003,FALSE,TRUE,Scope of Work,TRUE
19990513,19990513001,"Ferro,James",Paul's Auto Service,PAULS AUTO SVC,No,"KU Resources Inc.,",2007-10-12,2008-10-22,Competitively Bid,NA,Defined Scope of Work,Fixed Price,63850,0,63850,DEP required additional work not included in this contract.  Contract was stopped and new FP was created.,2007,63850,FALSE,TRUE,Scope of Work,FALSE
19990513,19990513002,"Ferro,James",Paul's Auto Service,PAULS AUTO SVC,Yes,"KU Resources Inc.,",2010-12-10,2015-02-16,Sole Source,NA,NA,Fixed Price,59100,11250,63100,NA,2010,70350,FALSE,FALSE,Other/Unknown,TRUE
19990524,19990524001,"Marion,Shane",Rusty's/Mancuso Amoco,Washington Road BP,Yes,"Letterle & Associates Inc,",2013-11-05,2019-12-09,Sole Source,NA,NA,Fixed Price,73886.4,0,72750.95,final invoice being processed  12/2/2019 01:48:55 PM (dbollana),2013,73886.4,FALSE,FALSE,Other/Unknown,TRUE
19990525,19990525001,"Bilder,Jack",Roscoe Amoco,ROSCOE AMOCO,Yes,"Letterle & Associates Inc,",2007-03-26,2012-11-13,Sole Source,NA,NA,Pay for Performance,277512,0,277012,Milestone A/B reduced by $500 to account for installation of a used carbon vessel.,2007,277512,FALSE,FALSE,Other/Unknown,TRUE
19990529,19990529001,"Mackewicz,Bonnie",Jerry's Amoco,JERRYS AMOCO,Yes,"Letterle & Associates Inc,",2010-12-14,2014-04-09,Sole Source,NA,NA,Fixed Price,93925.67,0,54861.69,NA,2010,93925.67,FALSE,FALSE,Other/Unknown,TRUE
19990546,19990546001,"Marion,Shane",RH Watkins Services,RH WATKINS SVC,Yes,"In-Site Group, Inc.,",2007-07-09,2015-08-14,Sole Source,NA,NA,Fixed Price,121353.7,99817.25,194708.85,"Amendments 1-3 bring contract total to $230,617.05",2007,221170.95,FALSE,FALSE,Other/Unknown,TRUE
19990562,19990562001,"Melvin, CPCU,Linda M.",Lansky's Texaco,LANSKYS TEXACO,Yes,"MEA, Inc.,",2008-12-22,2011-04-20,Sole Source,NA,NA,Fixed Price,52932.3,8327.52,46521.28,Prorated at 90%,2008,61259.82000000001,FALSE,FALSE,Other/Unknown,TRUE
19990569,19990569001,"Aubel,Tracy",Tolinos Fuel Service Inc.,Tolinos Fuel Svc,Yes,"MEA, Inc.,",2013-12-31,2021-03-03,Sole Source,NA,NA,Fixed Price,145226.7,0,138918.54,Contract closed; final milestone invoice processed  3/3/2021 04:50:18 PM (dbollana),2013,145226.7,FALSE,FALSE,Other/Unknown,TRUE
19990570,19990570001,"Bilder,Jack","C&E Marina, Inc.",C & E MARINA,Yes,",",2007-04-16,2010-09-14,Competitively Bid,NA,Defined Scope of Work,Fixed Price,163749.79,0,163206.79,NA,2007,163749.79,FALSE,TRUE,Scope of Work,TRUE
19990571,19990571001,"Marion,Shane",Jake Schneider's Garage,JAKE SCHNEIDERS GARAGE,Yes,"Cira and Associates Consulting LLC,",2006-12-01,2013-02-06,Competitively Bid,NA,Defined Scope of Work,Fixed Price,225217.78,0,163517.53,Claim is prorated at 90%. Note: Unit price for soil disposal part of Milestone A not associated with fixed costs.  2/6/13 Consultant cannot complete and terminated contract.,2006,225217.78,FALSE,TRUE,Scope of Work,TRUE
19990571,19990571002,"Marion,Shane",Jake Schneider's Garage,JAKE SCHNEIDERS GARAGE,Yes,"Core Environmental Services, Inc.,",2014-09-07,2017-09-06,Competitively Bid,2013-02-06,Bid to Result,Fixed Price,41485.42,0,38395.17,9/7/2017 02:26:43 PM (invadmin)Final milestone was processed for payment on 9/6/17.  cw,2014,41485.42,TRUE,FALSE,Bid-to-Result,TRUE
20000016,20000016001,"Marion,Shane",Burns Exxon,BURNS GROCERY & EXXON,Yes,"CP Environmental Group, Inc.,",2008-12-15,2017-02-02,Competitively Bid,NA,Defined Scope of Work,Fixed Price,112522,148667.95,220324.95,Closed per instruction from Shane Marion.  2/2/2017 10:35:14 AM (dcassel),2008,261189.95,FALSE,TRUE,Scope of Work,TRUE
20000022,20000022001,"Headdings,Kyle",Canonsburg Supply & Eqmt.,Canonsburg Supply & Equip,No,"Letterle & Associates Inc,",2012-06-21,2019-07-18,Competitively Bid,2010-09-29,Defined Scope of Work,Fixed Price,215644.77,27057.85,228211.62,Final milestone invoice processed  7/18/2019 05:38:24 AM (dbollana),2012,242702.62,FALSE,TRUE,Scope of Work,FALSE
20000026,20000026001,"Bilder,Jack",Sheetz #63,SHEETZ 63,Yes,"Kleinfelder Eastern Merger Corporation,",2006-10-30,2008-10-02,Sole Source,NA,NA,Fixed Price,20483,0,20483,NA,2006,20483,FALSE,FALSE,Other/Unknown,TRUE
20000026,20000026002,"Bilder,Jack",Sheetz #63,SHEETZ 63,No,"Kleinfelder Eastern Merger Corporation,",2008-08-22,2010-02-09,Sole Source,NA,NA,Fixed Price,19995,0,14560.56,NA,2008,19995,FALSE,FALSE,Other/Unknown,FALSE
20000029,20000029001,"Aubel,Tracy","7 Eleven #174(Formerly Best Oil, Inc. 4)",7 ELEVEN 174,No,"Groundwater & Environmental Services, Inc.,",2007-03-05,2009-04-01,Competitively Bid,NA,Defined Scope of Work,Fixed Price,NA,0,0,Contract complete prior to database,2007,0,FALSE,TRUE,Scope of Work,FALSE
20000029,20000029002,"Aubel,Tracy","7 Eleven #174(Formerly Best Oil, Inc. 4)",7 ELEVEN 174,No,"Groundwater & Environmental Services, Inc.,",2009-04-29,2017-05-15,Sole Source,NA,NA,Fixed Price,90547,0,68033.84,Data clean up found this contract is closed.  5/15/2017 09:00:18 AM (dcassel),2009,90547,FALSE,FALSE,Other/Unknown,FALSE
20000057,20000057001,"Ferro,James",7 Eleven #143,7 ELEVEN 143,No,"Moody & Associates, Inc.,",2007-02-09,2008-11-07,Sole Source,NA,NA,Fixed Price,16066,0,8774,NA,2007,16066,FALSE,FALSE,Other/Unknown,FALSE
20000057,20000057002,"Ferro,James",7 Eleven #143,7 ELEVEN 143,No,"Moody & Associates, Inc.,",2008-11-07,2009-03-27,Sole Source,NA,NA,Fixed Price,6840,0,3420,NA,2008,6840,FALSE,FALSE,Other/Unknown,FALSE
20000057,20000057003,"Ferro,James",7 Eleven #143,7 ELEVEN 143,Yes,"Moody & Associates, Inc.,",2009-03-27,2011-03-10,Sole Source,NA,NA,Fixed Price,13927.5,0,13410,NA,2009,13927.5,FALSE,FALSE,Other/Unknown,TRUE
20000057,20000057004,"Ferro,James",7 Eleven #143,7 ELEVEN 143,No,"Moody & Associates, Inc.,",2011-06-23,2013-07-18,Sole Source,NA,NA,Fixed Price,13240,0,13081.6,NA,2011,13240,FALSE,FALSE,Other/Unknown,FALSE
20000067,20000067001,"Bilder,Jack",Uni Mart 04072,UNI MART 4072,Yes,"Chambers Environmental Group Inc,",2007-07-17,2009-05-20,Sole Source,NA,NA,Fixed Price,33877,0,33877,NA,2007,33877,FALSE,FALSE,Other/Unknown,TRUE
20000113,20000113001,"Marion,Shane",Penndel Service Center,PENNDEL SVC CTR,Yes,"Groundwater & Environmental Services, Inc.,",2006-01-12,2012-01-05,Sole Source,NA,NA,Fixed Price,556374,0,556374,Add''l cost during contract period outside of contract due to delay to get sewer connection permit approval.,2006,556374,FALSE,FALSE,Other/Unknown,TRUE
20000120,20000120001,"Bollana,Debra",Coen Oil Company,Coen Oil,No,"Letterle & Associates Inc,",2011-01-04,2011-12-13,Sole Source,NA,NA,Fixed Price,153342.92,0,135416.82,Milestone A2 reduced - a vapor sample was not collected.,2011,153342.92,FALSE,FALSE,Other/Unknown,FALSE
20000120,20000120002,"Bollana,Debra",Coen Oil Company,Coen Oil,Yes,"Letterle & Associates Inc,",2012-07-11,2023-09-14,Sole Source,NA,NA,Fixed Price,104032.05,103003.45,180723.01,Final invoice processed 9/14/2023 01:01:28 PM (dbollana),2012,207035.5,FALSE,FALSE,Other/Unknown,TRUE
20000125,20000125001,"Bilder,Jack",Senick Brothers,SENICK BROS,Yes,"MEA, Inc.,",2004-11-11,2011-10-03,Sole Source,NA,NA,Pay for Performance,554987,0,554987,10/18/11 JB provided info that contract was paid in full and closed.,2004,554987,FALSE,FALSE,Other/Unknown,TRUE
20000138,20000138002,"Hawk,Gerald",Stop N Go 463,Cogos 463,No,"United Environmental Group, Inc.,",2009-04-13,2010-01-06,Sole Source,NA,NA,Fixed Price,40825.7,21621.56,62447.26,NA,2009,62447.259999999995,FALSE,FALSE,Other/Unknown,FALSE
20000139,20000139001,"Ferro,James",Gores Friendly Service,GORES FRIENDLY SVC,No,"Environmental Alliance,",2011-01-12,2013-09-13,Competitively Bid,2009-12-02,Defined Scope of Work,Fixed Price,28095.08,0,31302.25,additional wells and deeper drilling depth to bedrock increased costs  Milestone A paid as T&&M outside of contract,2011,28095.08,FALSE,TRUE,Scope of Work,FALSE
20000139,20000139002,"Ferro,James",Gores Friendly Service,GORES FRIENDLY SVC,Yes,"Environmental Alliance,",2013-09-25,2016-12-16,Sole Source,NA,NA,Fixed Price,82215.52,0,62296.99,Final milestone invoice authorized for payment.  12/15/2016 03:40:01 PM (dcassel),2013,82215.52,FALSE,FALSE,Other/Unknown,TRUE
20000173,20000173001,"Bilder,Jack",Lake Clarke Marina,LAKE CLARKE MARINA,Yes,"GCI Environmental Services,",2008-06-24,2009-05-29,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database tracking.,2008,0,FALSE,FALSE,Other/Unknown,TRUE
20000179,20000179001,"Bollana,Debra",Golden Oil Company,Golden Oil,Yes,"DMS Environmental Services LLC,",2016-10-07,2022-06-21,Competitively Bid,2012-02-20,Bid to Result,Fixed Price,235097.21,0,63915.6,"6/14/22 Termination Letter received

6/21/2022 03:56:16 PM (dbollana)",2016,235097.21,TRUE,FALSE,Bid-to-Result,TRUE
20000184,20000184001,"Cramer,Jolene",McQuiston Truck Stop,MCQUISTON TRUCK STOP,Yes,"Letterle & Associates Inc,",2010-05-05,2014-09-18,Sole Source,NA,NA,Fixed Price,42134.32,17918,28146.5,NA,2010,60052.32,FALSE,FALSE,Other/Unknown,TRUE
20000210,20000210001,"Hawk,Gerald",Pine Avenue Sunoco,PINE AVENUE SUNOCO,Yes,"SCR Realty,",2001-06-21,2011-04-11,Sole Source,NA,NA,Pay for Performance,300000,0,300000,Appears to be contract with Claimant SCR Realty.,2001,300000,FALSE,FALSE,Other/Unknown,TRUE
20000222,20000222001,"Melvin, CPCU,Linda M.",Elton Road Quik GS,ELTON ROAD QUIK GS,No,"Core Environmental Services, Inc.,",2006-01-01,2006-06-28,Competitively Bid,NA,Defined Scope of Work,Fixed Price,NA,0,0,Contract closed prior to database tracking.,2006,0,FALSE,TRUE,Scope of Work,FALSE
20000256,20000256001,"Marion,Shane",Crossroads Food Mart 51,Getgo 3051,No,"Cribbs & Associates, Inc.,",2011-03-09,2012-09-13,Sole Source,NA,NA,Fixed Price,77300.6,0,72185.6,NA,2011,77300.6,FALSE,FALSE,Other/Unknown,FALSE
20000275,20000275001,"Hawk,Gerald",RMM's Food Mart,RMMS FOOD MART,No,"Letterle & Associates Inc,",2012-02-10,2014-09-18,Competitively Bid,2011-04-06,Bid to Result,Fixed Price,129836.55,0,48495.45,NA,2012,129836.55,TRUE,FALSE,Bid-to-Result,FALSE
20000288,20000288001,"Bilder,Jack",Sheetz #60,SHEETZ INC 60,Yes,"Groundwater & Environmental Services, Inc.,",2006-10-01,2007-08-28,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database tracking,2006,0,FALSE,FALSE,Other/Unknown,TRUE
20000290,20000290001,"Mackewicz,Bonnie",Holmes Exxon Car Wash,HOLMES EXXON CAR WASH,Yes,"R.A.R. Engineering Group, Inc.,",2013-03-08,2013-11-13,Sole Source,NA,NA,Fixed Price,33631.8,0,21895.8,NA,2013,33631.8,FALSE,FALSE,Other/Unknown,TRUE
20000334,20000334002,"Cramer,Jolene",Pleasant Gap Texaco,PLEASANT GAP TEXACO,No,"Mountain Research LLC,",2008-05-20,2012-02-15,Sole Source,NA,NA,Fixed Price,58977,66936.3,121463.3,2/16/09 Change Order due to delay in sampling 4wells because of PENNDOT permitting. D2 and D3 replace original milestones. D4-D6 are additional. Multiple change orders changing milestone amounts and adding charges.,2008,125913.3,FALSE,FALSE,Other/Unknown,FALSE
20000334,20000334003,"Cramer,Jolene",Pleasant Gap Texaco,PLEASANT GAP TEXACO,Yes,"Mountain Research LLC,",2012-04-06,2015-03-17,Sole Source,NA,NA,Fixed Price,94488.6,0,89498.6,NA,2012,94488.6,FALSE,FALSE,Other/Unknown,TRUE
20000338,20000338001,"Cramer,Jolene",Kwik Fill  S-028,Kwik Fill S 28,Yes,"Groundwater & Environmental Services, Inc.,",2005-08-02,2014-08-19,Sole Source,NA,NA,Pay for Performance,362112,0,362112,NA,2005,362112,FALSE,FALSE,Other/Unknown,TRUE
20000339,20000339001,"Hawk,Gerald",Kwik Fill  S-048,KWIK FILL S 48,No,"Groundwater & Environmental Services, Inc.,",2007-12-27,2010-01-28,Competitively Bid,NA,Defined Scope of Work,Fixed Price,7812,-569,7243,NA,2007,7243,FALSE,TRUE,Scope of Work,FALSE
20000339,20000339002,"Hawk,Gerald",Kwik Fill  S-048,KWIK FILL S 48,Yes,"Groundwater & Environmental Services, Inc.,",2010-03-10,2011-09-27,Sole Source,NA,NA,Fixed Price,109455,0,24794,NA,2010,109455,FALSE,FALSE,Other/Unknown,TRUE
20000355,20000355001,"Cramer,Jolene",Former Gulf Station / R & L Devl,GULF STA,No,"Mountain Research LLC,",2008-06-10,2009-04-13,Sole Source,NA,NA,Fixed Price,47275.5,0,47275.5,NA,2008,47275.5,FALSE,FALSE,Other/Unknown,FALSE
20000355,20000355002,"Cramer,Jolene",Former Gulf Station / R & L Devl,GULF STA,Yes,"Mountain Research LLC,",2008-12-22,2012-12-11,Sole Source,NA,NA,Fixed Price,118096.73,0,104275.47,90% Proration,2008,118096.73,FALSE,FALSE,Other/Unknown,TRUE
20010011,20010011001,"Bilder,Jack",Sheetz #170,SHEETZ 170,Yes,"Groundwater & Environmental Services, Inc.,",2006-10-01,2007-01-17,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database tracking,2006,0,FALSE,FALSE,Other/Unknown,TRUE
20010020,20010020001,"Bilder,Jack",7 Eleven #178 (Formerly Best Oil Inc  #8),7 ELEVEN 178,Yes,"Moody & Associates, Inc.,",2006-09-01,2010-06-18,Sole Source,NA,NA,Fixed Price,34738.02,0,34738.02,NA,2006,34738.02,FALSE,FALSE,Other/Unknown,TRUE
20010021,20010021001,"Bilder,Jack",7 Eleven #179 (Formerly Best Oil Inc  #12),7 ELEVEN 179,Yes,"Core Environmental Services, Inc.,",2007-09-21,2009-03-18,Competitively Bid,NA,Defined Scope of Work,Fixed Price,33871.5,0,33871.5,NA,2007,33871.5,FALSE,TRUE,Scope of Work,TRUE
20010022,20010022001,"Aubel,Tracy",7 Eleven #180 (Formerly Best Oil Inc  #15),7 Eleven 180,No,"Groundwater & Environmental Services, Inc.,",2007-02-22,2010-09-21,Competitively Bid,NA,Bid to Result,Time and Material,62136.1,0,61104.65,T&&M Not to Exceed,2007,62136.1,TRUE,FALSE,Bid-to-Result,FALSE
20010022,20010022002,"Aubel,Tracy",7 Eleven #180 (Formerly Best Oil Inc  #15),7 Eleven 180,No,"Groundwater & Environmental Services, Inc.,",2010-09-21,2013-03-11,Sole Source,NA,NA,Fixed Price,76200,8896,77802,"Total contract price with amendment #1  $85,096.00",2010,85096,FALSE,FALSE,Other/Unknown,FALSE
20010023,20010023001,"Aubel,Tracy",7 Eleven #182 (Formerly Best Oil Inc  #19),7 Eleven 182,No,"Core Environmental Services, Inc.,",2007-07-11,2009-06-03,Competitively Bid,NA,Defined Scope of Work,Fixed Price,53670,0,52157.51,NA,2007,53670,FALSE,TRUE,Scope of Work,FALSE
20010023,20010023002,"Aubel,Tracy",7 Eleven #182 (Formerly Best Oil Inc  #19),7 Eleven 182,Yes,"Core Environmental Services, Inc.,",2010-06-08,2019-05-17,Sole Source,NA,NA,Fixed Price,164251,14659,152985,Final milestone invoice processed.  5/16/2019 02:38:31 PM (dbollana),2010,178910,FALSE,FALSE,Other/Unknown,TRUE
20010024,20010024001,"Bilder,Jack",7 Eleven #185 (Formerly Best Oil Inc  #26),7 Eleven 185,Yes,"Groundwater & Environmental Services, Inc.,",2007-04-12,2013-01-29,Competitively Bid,NA,Defined Scope of Work,Fixed Price,58728.5,0,55020,Task 7 not completed as MW has been retained for use under new release claim #12-124.,2007,58728.5,FALSE,TRUE,Scope of Work,TRUE
20010026,20010026001,"Kern,Beth",7 Eleven #177(Formerly Best Oil Inc  #7),7 Eleven 36150,No,"Moody & Associates, Inc.,",2006-11-22,2010-11-01,Competitively Bid,NA,Defined Scope of Work,Fixed Price,103796.5,86640.75,114595.71,NA,2006,190437.25,FALSE,TRUE,Scope of Work,FALSE
20010026,20010026002,"Kern,Beth",7 Eleven #177(Formerly Best Oil Inc  #7),7 Eleven 36150,Yes,"Moody & Associates, Inc.,",2010-11-01,2017-05-15,Sole Source,NA,NA,Fixed Price,363028.55,15604,348108.73,"During data clean up, found that contract is no longer valid.  See status report dated 12/5/16. 
5/15/2017 09:26:52 AM (dcassel)",2010,378632.55,FALSE,FALSE,Other/Unknown,TRUE
20010027,20010027002,"Bollana,Debra",7 Eleven #181 (Formerly Best Oil Inc  #16),7 Eleven 36153,No,"Core Environmental Services, Inc.,",2007-07-23,2015-06-01,Competitively Bid,NA,Defined Scope of Work,Fixed Price,43049,78513.32,163562.32,6/1/2015 08:40:25 AM (dcassel) Contract was terminated due to sale of property and new consultant hired by owner.  No fault of CORE.,2007,121562.32,FALSE,TRUE,Scope of Work,FALSE
20010030,20010030001,"Aubel,Tracy",7 Eleven #189 (Formerly Best Oil Inc  #31),7 Eleven 189,No,"Core Environmental Services, Inc.,",2007-06-11,2009-05-22,Competitively Bid,NA,Defined Scope of Work,Fixed Price,51876,6720,58596,NA,2007,58596,FALSE,TRUE,Scope of Work,FALSE
20010041,20010041001,"Cramer,Jolene",Kwik Fill  S-141,KWIK FILL S 141,No,"Groundwater & Environmental Services, Inc.,",2007-12-27,2010-01-29,Competitively Bid,NA,Defined Scope of Work,Fixed Price,12840,-467,12373,NA,2007,12373,FALSE,TRUE,Scope of Work,FALSE
20010041,20010041002,"Cramer,Jolene",Kwik Fill  S-141,KWIK FILL S 141,Yes,"Groundwater & Environmental Services, Inc.,",2010-03-10,2013-07-31,Sole Source,NA,NA,Fixed Price,80605,21640,98455,NA,2010,102245,FALSE,FALSE,Other/Unknown,TRUE
20010049,20010049001,"Bollana,Debra",Holiday Shell - Erie Petr,Crosbys Perry Hwy,Yes,"R.A.R. Engineering Group, Inc.,",2014-06-20,NA,Sole Source,NA,NA,Fixed Price,69512,266519.52,308595.52,NA,2014,336031.52,FALSE,FALSE,Other/Unknown,TRUE
20010053,20010053001,"Condran,Patricia",Lloyd J. Nolan Bulk Plant,Fuel Depot Bulk Plt,Yes,"MEA, Inc.,",2008-05-12,2013-07-01,Sole Source,NA,NA,Fixed Price,32378.45,0,23182.7,NA,2008,32378.45,FALSE,FALSE,Other/Unknown,TRUE
20010059,20010059001,"Smith,Bethany",B & S Mobil,B & S SUNOCO,Yes,"Taylor Geoservices, Inc.,",2013-05-26,2017-09-13,Sole Source,NA,NA,Fixed Price,275133,4894,241789,Final milestone authorized for payment  9/13/2017 02:42:48 PM (dcassel),2013,280027,FALSE,FALSE,Other/Unknown,TRUE
20010061,20010061001,"Aubel,Tracy",Coventry House Apt,Coventry House Apt,No,"B&B Diversified Enterprises Inc,",2007-04-01,2009-08-01,Competitively Bid,NA,Defined Scope of Work,Fixed Price,88814,41440.6,90286.6,NA,2007,130254.6,FALSE,TRUE,Scope of Work,FALSE
20010061,20010061002,"Aubel,Tracy",Coventry House Apt,Coventry House Apt,Yes,"B&B Diversified Enterprises Inc,",2009-08-21,NA,Sole Source,NA,NA,Fixed Price,422238.9,0,385019.91,NA,2009,422238.9,FALSE,FALSE,Other/Unknown,TRUE
20010065,20010065001,"Marion,Shane",Shavertown Service Center,Prem Ventures,Yes,"MEA, Inc.,",2011-06-29,2017-11-24,Competitively Bid,2010-12-13,Bid to Result,Fixed Price,230120.99,0,173818.37,Mutually terminated due to new condition.  See letter in IR Investigation file 12/5/2017 02:33:26 PM (dcassel),2011,230120.99,TRUE,FALSE,Bid-to-Result,TRUE
20010084,20010084001,"Mackewicz,Bonnie",Laughlins Amoco,Laughlins Gas Sta,No,"Letterle & Associates Inc,",2008-02-11,2009-08-14,Sole Source,NA,NA,Fixed Price,120114,707,114869,NA,2008,120821,FALSE,FALSE,Other/Unknown,FALSE
20010084,20010084002,"Mackewicz,Bonnie",Laughlins Amoco,Laughlins Gas Sta,Yes,"Letterle & Associates Inc,",2009-08-14,2016-10-28,Sole Source,NA,NA,Fixed Price,224087.72,0,222244.22,"Claim aggregate reached, contract closed on this claim. Remaining contract paid under claim 20060127.

Optional tasks C5A-C8A would substitute for tasks C5-C8, for a total contract cost of $283,713.83.

10/28/2016 02:38:30 PM (dcassel)",2009,224087.72,FALSE,FALSE,Other/Unknown,TRUE
20010107,20010107001,"Hawk,Gerald",L&L Service Center,L & L Svc Ctr,No,"United Environmental Services, Inc.,",2010-06-15,2011-10-17,Sole Source,NA,NA,Fixed Price,97399.8,0,89839.8,Milestone C will not be paid.  See pkg cx ltr from claimant.,2010,97399.8,FALSE,FALSE,Other/Unknown,FALSE
20010107,20010107002,"Hawk,Gerald",L&L Service Center,L & L Svc Ctr,No,"Mountain Research LLC,",2012-01-17,2016-05-04,Competitively Bid,2011-03-15,Defined Scope of Work,Fixed Price,96965.08,-8363.35,78529.64,NA,2012,88601.73,FALSE,TRUE,Scope of Work,FALSE
20010107,20010107003,"Hawk,Gerald",L&L Service Center,L & L Svc Ctr,No,"Mountain Research LLC,",2016-04-26,2016-10-07,Competitively Bid,NA,Defined Scope of Work,Fixed Price,105085.35,0,105085.35,Contract is closed under this claim as claim aggregate has been reached. Remainder will be reimbursed under claim 20160011. Only the portion of the contract paid under this claim is recorded (in order to not have duplicate contract amount in reporting) 10/7/2016 10:12:59 AM (dcassel),2016,105085.35,FALSE,TRUE,Scope of Work,FALSE
20010133,20010133001,"Moore,Ronald",Universal Concrete Products Corporation - Formerly Pottstown Precision Con.,ARMOR CAST BLDG,Yes,"Tyree Environmental Corporation,",2008-11-18,2012-09-06,Sole Source,NA,NA,Fixed Price,58320,0,45568,NA,2008,58320,FALSE,FALSE,Other/Unknown,TRUE
20010134,20010134001,"Headdings,Kyle",LH Gross Manorette,LH Gross Manorette,No,"United Environmental Services, Inc.,",2013-06-18,2016-08-03,Sole Source,NA,NA,Fixed Price,32117.05,0,32117.05,NA,2013,32117.05,FALSE,FALSE,Other/Unknown,FALSE
20010142,20010142001,"Marion,Shane",Hilltop One Stop,HILLTOP ONE STOP,Yes,"In-Site Group, Inc.,",2013-01-07,2016-07-06,Competitively Bid,2012-03-01,Bid to Result,Fixed Price,66132.33,0,61550.52,NA,2013,66132.33,TRUE,FALSE,Bid-to-Result,TRUE
20010150,20010150001,"Aubel,Tracy",Kerrigans Sunoco,Kerrigans Sunoco,Yes,"MEA, Inc.,",2010-03-31,2015-12-07,Sole Source,NA,NA,Fixed Price,196408,148017.15,269774.4,Prorated at 80%,2010,344425.15,FALSE,FALSE,Other/Unknown,TRUE
20010175,20010175001,"Cramer,Jolene",Exit 3 Amoco,Exit 11 BP,No,"Letterle & Associates Inc,",2008-12-14,2010-01-28,Sole Source,NA,NA,Fixed Price,257447.5,0,189772.65,NA,2008,257447.5,FALSE,FALSE,Other/Unknown,FALSE
20010175,20010175002,"Cramer,Jolene",Exit 3 Amoco,Exit 11 BP,Yes,"Letterle & Associates Inc,",2010-04-14,2011-10-24,Sole Source,NA,NA,Fixed Price,31933,0,28093,Contract not completed; went to T&&M and then claim aggregate reached.,2010,31933,FALSE,FALSE,Other/Unknown,TRUE
20010193,20010193001,"Aubel,Tracy",Rutters Farm Store 20,Rutters Farm Store 20,No,"United Environmental Services, Inc.,",2008-04-29,2011-09-28,Sole Source,NA,NA,Fixed Price,247470.32,0,247470.32,NA,2008,247470.32,FALSE,FALSE,Other/Unknown,FALSE
20010203,20010203001,"Crabb,Linda",Washingtonville Garage,WASHINGTONVILLE GARAGE,Yes,"Letterle & Associates Inc,",2011-05-18,2014-12-29,Sole Source,NA,NA,Fixed Price,87838.22,0,113365.74,NA,2011,87838.22,FALSE,FALSE,Other/Unknown,TRUE
20010221,20010221001,"Cramer,Jolene",Montys Service Center,MONTYS SVC CTR,Yes,"Keith Valley Environmental, Inc.,",2011-03-06,2013-05-01,Sole Source,NA,NA,Fixed Price,34620,0,34620,90% proration,2011,34620,FALSE,FALSE,Other/Unknown,TRUE
20010261,20010261001,"Hawk,Gerald","Golden Car Wash, Inc.",GOLDEN CAR WASH,Yes,"R.A.R. Engineering Group, Inc.,",2012-09-07,2014-06-03,Sole Source,2011-04-11,NA,Fixed Price,39794.4,0,39794.4,NA,2012,39794.4,FALSE,FALSE,Other/Unknown,TRUE
20010301,20010301001,"Aubel,Tracy",Jackson's Citgo,Jacksons Citgo,No,"B&B Diversified Enterprises Inc,",2010-06-23,2014-08-18,Competitively Bid,NA,Bid to Result,Time and Material,97344,24830.68,119228.68,"Amendment #1 brings contract total to $114,733.68 Amendment #2 brings contract total to $121,534.68",2010,122174.68,TRUE,FALSE,Bid-to-Result,FALSE
20010308,20010308001,"Mackewicz,Bonnie",Lakeshore Service,Lakeshore Svc,Yes,"Environmental Remediation & Recovery, Inc.,",2012-02-06,2013-02-21,Competitively Bid,2010-07-30,Defined Scope of Work,Fixed Price,79722.4,0,22912.6,"Contract Price if all optional milestones are necessary: $79,216.40.    2/21/13 Contract terminated due to new condition",2012,79722.4,FALSE,TRUE,Scope of Work,TRUE
20010328,20010328002,"Bollana,Debra",Kwik Fill M-376,Kwik Fill M376,No,"Letterle & Associates Inc,",2007-08-22,2010-05-26,Sole Source,NA,NA,Fixed Price,15280.98,53440,61053.98,Amendments 4 and 5.  There are no amendments 1-3 possibly because this was a bundling of contracted sited and amendments 1-3 were related to other sites,2007,68720.98,FALSE,FALSE,Other/Unknown,FALSE
