attributes_objectid,attributes_facility_id,attributes_facility_name,attributes_facility_address1,attributes_facility_address2,attributes_facility_city,attributes_facility_state,attributes_facility_zip,attributes_county_id,attributes_facility_county,attributes_municipality_id,attributes_facility_municipality,attributes_reg_expiration_date,attributes_tank_owner_id,attributes_tank_owner_name,attributes_tank_owner_address1,attributes_tank_owner_address2,attributes_tank_owner_city,attributes_tank_owner_state,attributes_tank_owner_zip,attributes_primary_facility_id,attributes_site_id,attributes_tank_information,.source,.downloaded_at
3858,62-91676,NW SAVINGS BANK OPR CTR,9 FARM COLONY DR,,WARREN,PA,16365-5207,2469,Warren,2299,Conewango Twp,1796342400000,242363,NORTHWEST SAVINGS BANK,100 LIBERTY ST,,WARREN,PA,16365-2411,669711,657957,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=62-91676&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3859,15-39124,CHESTER CNTY PRISON WWP,501 S WAWASET RD,,WEST CHESTER,PA,19382-6762,2422,Chester,739,Pocopson Twp,1770163200000,78960,CHESTER CNTY,313 W MARKET ST,,WEST CHESTER,PA,19382-2804,669719,270237,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-39124&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3860,02-39137,GETGO 3616,3601 SAW MILL RUN BLVD,,PITTSBURGH,PA,15227-2709,2409,Allegheny,47,Brentwood Boro,1791072000000,387260,GETGO OPER LLC,700 CRANBERRY WOODS DR,Attn: Compliance Manager,CRANBERRY TOWNSHIP,PA,16066-5213,670290,658713,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-39137&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3861,43-91675,MUSCLE PROD,752 KILGORE RD,,JACKSON CENTER,PA,16133-2618,2450,Mercer,1763,Worth Twp,1796342400000,110247,MUSCLE PROD CORP,112 FENNELL DR,,BUTLER,PA,16002-3648,670785,659274,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=43-91675&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3862,32-39893,FORCE TRUCKING,1077 ROUTE 119 HWY N,,INDIANA,PA,15701-7333,2439,Indiana,1330,Rayne Twp,1796342400000,340206,AMER NATURAL SUPPLY LLC,22727 Rte 119 N,,PUNXSUTAWNEY,PA,15767,712858,713618,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=32-39893&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3863,06-39916,GIANT FOOD STORE 6422,4320 5TH STREET HWY,,TEMPLE,PA,19560-1740,2413,Berks,347,Muhlenberg Twp,1780531200000,69978,GIANT CO LLC,1149 HARRISBURG PIKE,,CARLISLE,PA,17013-1607,714508,715519,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=06-39916&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3864,10-39917,MURRINSVILLE PLANT,102 VAN DYKE RD,,HARRISVILLE,PA,16038-2524,2417,Butler,543,Marion Twp,1796342400000,410,ALLEGHENY MINERAL CORP,PO BOX 1022,,KITTANNING,PA,16201-5022,714527,715544,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=10-39917&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3865,40-52640,LUZERNE CNTY 911 CALL CTR,100 YOUNG ST,,HANOVER TOWNSHIP,PA,18706-1411,2447,Luzerne,1607,Hanover Twp,1775260800000,36586,LUZERNE CNTY,200 N RIVER ST,LUZERNE CNTY COURTHOUSE,WILKES BARRE,PA,18711-1001,715505,716680,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=40-52640&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3866,67-39961,PVS CHEMICAL YORK PLANT HOLDING,651 MEMORY LN,,YORK,PA,17402-2235,2474,York,2571,York Twp,1780531200000,257713,PVS MINIBULK INC,10900 HARPER AVE,,DETROIT,MI,48213-3364,716369,717622,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-39961&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3868,50-33723,GREENWOOD MULCH,5367 VETERANS WAY,,ELLIOTTSBURG,PA,17024-9148,2457,Perry,1967,Saville Twp,1780531200000,302550,GREENWOOD MULCH,5367 VETERANS WAY,,ELLIOTTSBURG,PA,17024-9148,761784,770204,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=50-33723&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3869,22-33726,PA JUDICIAL CTR,601 COMMONWEALTH AVE,,HARRISBURG,PA,17125,2429,Dauphin,1001,Harrisburg City,1780531200000,43532,PA DGS,515 NORTH OFFICE BLDG,,HARRISBURG,PA,17103-1540,762089,666196,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=22-33726&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3870,02-19315,ROSS TWP ROAD DEPT GARAGE,1000 ROSS MUNICIPAL DR,,PITTSBURGH,PA,15237-2725,2409,Allegheny,40,Ross Twp,1791072000000,80140,ROSS TWP ALLEGHENY CNTY,1000 ROSS MUNICIPAL RD,,PITTSBURGH,PA,15237-3102,576053,561735,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-19315&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3871,02-19750,RIVERSIDE SUNOCO,326 MONONGAHELA AVE,,GLASSPORT,PA,15045-1440,2409,Allegheny,87,Glassport Boro,1791072000000,379480,DHARMA GROUP LLC,1301 MAPLEWOOD CIR,,WASHINGTON,PA,15301-2136,576074,561753,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-19750&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3872,02-23314,GIANT 905,3800 WALNUT ST,,MCKEESPORT,PA,15132-7340,2409,Allegheny,38,McKeesport City,1791072000000,382087,GIANT PENN LLC,1806 N FRANKLIN ST,,TAMPA,FL,33602-2234,576151,514860,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-23314&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3874,02-26102,UNION RR,708 DUQUESNE BLVD,,DUQUESNE,PA,15110-1522,2409,Allegheny,52,Duquesne City,1791072000000,290861,TRANSTAR INC,1200 PENN AVE,STE 300,PGH,PA,15222,576246,516241,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-26102&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3875,04-26350,ROCHESTER CTL OFC,128 W MADISON ST,,ROCHESTER,PA,15074-2251,2411,Beaver,224,Rochester Boro,1791072000000,87568,VERIZON PENNSYLVANIA LLC,900 RACE ST,,PHILADELPHIA,PA,19107-2407,578909,563938,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-26350&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3877,04-29315,KWIK FILL S30,402 CONSTITUTION BLVD,,NEW BRIGHTON,PA,15066-2913,2411,Beaver,237,Fallston Boro,1791072000000,189857,UNITED REF CO OF PA,15 BRADLEY STREET,,WARREN,PA,16365-0780,578930,563953,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-29315&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3878,04-30683,7 ELEVEN 40147,800 MERCHANT ST,,AMBRIDGE,PA,15003-2324,2411,Beaver,211,Ambridge Boro,1791072000000,142881,7 ELEVEN INC,PO BOX 711,,DALLAS,TX,75221-0711,578941,509747,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-30683&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3879,04-37670,CLASSIC EXPRESS,702 MARKET ST,,DARLINGTON,PA,16115,2411,Beaver,232,Darlington Boro,1791072000000,262923,CLASSIC EXPRESS,PO BOX 51,702 MARKET ST,DARLINGTON,PA,16115-0051,579008,501789,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-37670&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3880,04-38067,BEAVER CNTY JAIL,6000 WOODLAWN BLVD,,ALIQUIPPA,PA,15001,2411,Beaver,210,Aliquippa City,1791072000000,162752,BEAVER CNTY ENG DEPT,469 CONSTITUTION BLVD,,NEW BRIGHTON,PA,15066-3105,579017,564013,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-38067&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3881,04-80187,7 ELEVEN 36136,417-427 STATE AVE,,BEAVER,PA,15009,2411,Beaver,216,Vanport Twp,1791072000000,142881,7 ELEVEN INC,PO BOX 711,,DALLAS,TX,75221-0711,579030,564026,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-80187&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3882,04-80259,LITTLE SUPER,ROUTE 989 & LOVI RD,,FREEDOM,PA,15042,2411,Beaver,252,New Sewickley Twp,1791072000000,357615,FREEDOM DEV LLC,824 ROUTE 989,,FREEDOM,PA,15042-9351,579036,564030,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-80259&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3883,04-80335,MCCARTER TRANSIT,2569 DARLINGTON RD,,BEAVER FALLS,PA,15010-1281,2411,Beaver,230,Chippewa Twp,1791072000000,190813,MCCARTER TRANSIT INC,2569 DARLINGTON RD,,BEAVER FALLS,PA,15010-1281,579042,564034,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-80335&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3884,04-80602,WOODLAWN OIL,2260 TODD RD,,ALIQUIPPA,PA,15001,2411,Beaver,229,Center Twp,1791072000000,190698,WOODLAWN OIL CO INC,2260 TODD RD,,ALIQUIPPA,PA,15001-8404,579063,564046,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-80602&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3885,08-27155,JELD WEN FIBER DIV,825 SHINER RD,,TOWANDA,PA,18848-9207,2415,Bradford,453,Wysox Twp,1785801600000,388848,WOODGRAIN INC,123 BENBILT PL,,GREENSBURG,PA,15601-7658,581752,259347,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=08-27155&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3886,08-28926,DANDY MINI MART 28,6994 WOLCOTT HOLLOW RD,,ATHENS,PA,18810-9423,2415,Bradford,410,Athens Twp,1785801600000,38175,DANDY MINI MARTS INC,6221 MILE LANE RD,,SAYRE,PA,18840-9454,581769,566164,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=08-28926&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3887,15-07193,GEORGE KRAPF JR & SONS,120 SPRINGTON RD,,GLENMOORE,PA,19343-1103,2422,Chester,753,West Brandywine Twp,1770163200000,188625,GEORGE KRAPF JR & SONS INC,495 THOMAS JONES WAY STE 300,,EXTON,PA,19341-2553,585806,569131,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-07193&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3888,15-07290,UWCHLAN TWP CHESTER CNTY,715 N SHIP RD,,EXTON,PA,19341-1945,2422,Chester,748,Uwchlan Twp,1770163200000,70885,UWCHLAN TWP CHESTER CNTY,715 N SHIP RD,,EXTON,PA,19341-1945,585811,569135,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-07290&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3889,15-09164,PMG 6168,201 W LANCASTER AVE,,DEVON,PA,19333-1505,2422,Chester,719,Easttown Twp,1801699200000,312858,PMIG DPNJ LLC,2900 TELESTAR CT,,FALLS CHURCH,VA,22042-1206,585845,569161,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-09164&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3890,15-09470,LONGWOOD GARDENS,409 CONSERVATORY RD,,KENNETT SQUARE,PA,19348-1891,2422,Chester,713,East Marlborough Twp,1770163200000,82013,LONGWOOD GARDENS INC,1001 CONSERVATORY RD,,KENNETT SQUARE,PA,19348-1913,585850,569163,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-09470&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3891,15-09573,DOWNINGTOWN AREA REG AUTH,550 BRANDYWINE AVE,,DOWNINGTOWN,PA,19335-3418,2422,Chester,709,East Caln Twp,1770163200000,34859,DOWNINGTOWN AREA REG AUTH,6 W LANCASTER AVE,,DOWNINGTOWN,PA,19335-2825,585853,254958,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-09573&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3892,15-11375,HIGHWAY MATERIALS,850 QUARRY RD,,DOWNINGTOWN,PA,19335-3449,2422,Chester,709,East Caln Twp,1770163200000,4391,HIGHWAY MATERIALS LLC,409 STENTON AVE,,FLOURTOWN,PA,19031,585884,456377,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-11375&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3893,15-16435,PHILLIPS MUSHROOM FARMS,1011 KAOLIN RD,,KENNETT SQUARE,PA,19348-2605,2422,Chester,726,Kennett Twp,,145165,PHILLIPS MUSHROOM FARMS,PO BOX 190,,KENNETT SQUARE,PA,19348-0190,585946,538143,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-16435&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3895,15-17009,PHOENIXVILLE HOSP,140 NUTT RD,,PHOENIXVILLE,PA,19460,2422,Chester,695,Phoenixville Boro,1770163200000,338304,PHOENIXVILLE HOSPITAL LLC,140 NUTT ROAD,,PHOENIXVILLE,PA,19460-3906,585958,448110,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-17009&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3896,19-32262,ROARING CREEK PROVISIONS,32 IDEAL PARK RD,,CATAWISSA,PA,17820-8024,2426,Columbia,900,Locust Twp,1785801600000,395432,ROARING CREEK PROVISIONS LLC,32 IDEAL PARK RD,,CATAWISSA,PA,17820-8024,588277,571073,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=19-32262&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3897,19-35243,METRO TRUCKING,6675 LOW ST,,BLOOMSBURG,PA,17815-8613,2426,Columbia,913,South Centre Twp,1785801600000,180852,MANGINO HOLDING CORP,75 BROAD AVE,,FAIRVIEW,NJ,07022-1501,588280,571076,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=19-35243&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3898,19-35793,YOUR CHOICE LIME RIDGE,6307 COLUMBIA BLVD,,BLOOMSBURG,PA,17815-8624,2426,Columbia,913,South Centre Twp,1785801600000,285483,PATEL NAYMESH K,6307 COLUMBIA BLVD,,BLOOMSBURG,PA,17815-8624,588287,571082,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=19-35793&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3899,19-70017,SUPERIOR PLUS ENERGY SVC BLOOMSBURG,EIGHTH & JEFFERSON ST,,BLOOMSBURG,PA,17815,2426,Columbia,883,Bloomsburg Town,1785801600000,133010,SUPERIOR PLUS ENERGY SVC INC,760 BROOKS AVE,,ROCHESTER,NY,14619,588304,571097,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=19-70017&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3900,19-70263,BERWICK DIAL OFC,135 E 2ND ST,,BERWICK,PA,18603-4826,2426,Columbia,882,Berwick Boro,1785801600000,87568,VERIZON PENNSYLVANIA LLC,900 RACE ST,,PHILADELPHIA,PA,19107-2407,588318,571108,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=19-70263&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3902,19-71736,SHEETZ 213,2511 New Berwick Hwy,,BLOOMSBURG,PA,17815-8848,2426,Columbia,912,Scott Twp,1785801600000,36334,SHEETZ INC,5700 6TH AVE,,ALTOONA,PA,16602-1111,588462,571231,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=19-71736&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3903,20-01526,LINCAN FOOD MART,35733 DANNER DR,,UNION CITY,PA,16438-3511,2427,Crawford,920,Bloomfield Twp,1764806400000,186136,LAURA L WERNER,35659 BROWN HILL RD,,UNION CITY,PA,16438-2927,588478,571244,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=20-01526&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3904,20-04098,BUELLS CORNER STORE,44467 BUELLS CORNERS RD,,SPARTANSBURG,PA,16434-1901,2427,Crawford,944,Rome Twp,1796342400000,190796,JOSEPH E CICATELLA,RR 2,,SPARTANSBURG,PA,16434,588497,242371,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=20-04098&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3906,20-14942,NORTH & SOUTH SHENANGO JT MUNI AUTH,3397 DAM RD,,JAMESTOWN,PA,16134,2427,Crawford,947,South Shenango Twp,1796342400000,44974,NORTH & SOUTH SHENANGO TWP JT MUNI AUTH CRAWFORD CNTY,3104 WATER TRAIL DR,,JAMESTOWN,PA,16134-4410,588581,240657,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=20-14942&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3907,20-21713,HAYFIELD TWP BLDG,17882 TOWNHOUSE RD,,SAEGERTOWN,PA,16433-3756,2427,Crawford,935,Hayfield Twp,1764806400000,132539,HAYFIELD TWP CRAWFORD CNTY,16033 BATTLES RD,,SAEGERTOWN,PA,16433-3205,588632,571349,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=20-21713&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3908,20-22318,LEECH,1085 LAMONT DR,,MEADVILLE,PA,16335-8197,2427,Crawford,963,West Mead Twp,1796342400000,37615,LEECH INC,PO BOX 593,,MEADVILLE,PA,16335-0593,588635,571351,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=20-22318&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3909,36-02311,MT GRETNA MAINT,PA TPKE I76 MP 265.5 EB,3014 PINCH RD,MANHEIM,PA,17545,2443,Lancaster,1477,Rapho Twp,,55964,PA TURNPIKE COMM,PO BOX 67676,,HARRISBURG,PA,17106-7676,596015,577057,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-02311&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3910,36-02465,SCHEFFEY SVC CTR,1075 GROFFTOWN RD,,LANCASTER,PA,17602-2505,2443,Lancaster,1431,Lancaster City,1780531200000,164173,LANCASTER SCH DIST,251 S PRINCE ST,,LANCASTER,PA,17603-5396,596021,577063,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-02465&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3911,36-02846,D & K GRAHAM TRUCKING,423 QUAKER CHURCH RD,,CHRISTIANA,PA,17509-9727,2443,Lancaster,1478,Sadsbury Twp,1780531200000,188874,D & K GRAHAM TRUCKING INC,423 QUAKER CHURCH RD,PO BOX 128,CHRISTIANA,PA,17509-9727,596034,577075,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-02846&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3912,11-24760,MILLER MOTOR,1167 FOREST HILLS DRIVE,ROUTE 160,SALIX,PA,15952,2418,Cambria,581,Adams Twp,1791072000000,190661,MILLER MOTOR CO,PO BOX 117,,SALIX,PA,15952-0117,584586,568155,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=11-24760&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3913,14-07473,MILESBURG TRAVEL CTR,875 N EAGLE VALLEY RD,,MILESBURG,PA,16853,2421,Centre,662,Boggs Twp,1785801600000,256271,HPT TA PROPERTIES TRUST,24601 CENTER RIDGE RD,,WESTLAKE,OH,44145,585304,568729,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-07473&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3914,14-31484,UNI MART 04101,100 MILL ST,,MILESBURG,PA,16853-3801,2421,Centre,678,Milesburg Boro,1785801600000,362188,KHALA LLC,1200 S ATHERTON ST,,STATE COLLEGE,PA,16801-6201,585460,568855,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-31484&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3915,49-24521,KRATZER OIL CO,1330 N 4TH ST,,SUNBURY,PA,17801,2456,Northumberland,1939,Upper Augusta Twp,1785801600000,172023,KRATZER OIL CO INC,PO BOX 9,150 EAST DR,SUNBURY,PA,17801-0009,607489,585956,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=49-24521&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3916,31-02286,BURNT CABINS MAINT,24455 LOCKE ROAD,PA TPKE I76 MP 186.0 EB,SHADE GAP,PA,17255,2438,Huntingdon,1267,Dublin Twp,,55964,PA TURNPIKE COMM,PO BOX 67676,,HARRISBURG,PA,17106-7676,594229,575610,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=31-02286&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3917,32-36990,PARMAR 63,8420 ROUTE 422,,SHELOCTA,PA,15774,2439,Indiana,1306,Armstrong Twp,1796342400000,226036,SPC REALTY COMPANY,8199 MCKNIGHT RD,,PITTSBURGH,PA,15237-5749,594615,575922,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=32-36990&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3918,08-71758,DANDY MINI MART 19,78 WHITE WAGON RD,,SAYRE,PA,18840-9215,2415,Bradford,410,Athens Twp,1785801600000,38175,DANDY MINI MARTS INC,6221 MILE LANE RD,,SAYRE,PA,18840-9454,581961,245581,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=08-71758&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3919,09-02331,QUAKERTOWN INTERCHANGE,PA TURNPIKE I 476 EXIT 44,MILEPOST A43.77 SR 663,QUAKERTOWN,PA,18951,2416,Bucks,483,Milford Twp,,55964,PA TURNPIKE COMM,PO BOX 67676,,HARRISBURG,PA,17106-7676,582023,566358,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-02331&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3920,38-09312,HEIDELBERG TWP LEBANON CNTY,MILL RD,,SCHAEFFERSTOWN,PA,17088,2445,Lebanon,1525,Heidelberg Twp,1780531200000,33909,HEIDELBERG TWP LEBANON CNTY,PO BOX 188,111 MILL RD,SCHAEFFERSTOWN,PA,17088-0188,598667,579138,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=38-09312&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3921,09-30478,FAULKNER PONTIAC GMC,4427 STREET RD,,TREVOSE,PA,19053,2416,Bucks,457,Bensalem Twp,1770163200000,188989,FAULKNER PONTIAC GMC INC,4427 STREET RD,,TREVOSE,PA,19047,582576,516116,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-30478&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
